Operationer, Endast specialiserad öppen vård, Antal ingrepp/100 000 inv, NBL49 Sutur eller reinsertion av sena i axel eller överarm, Ålder: 0-85+, Båda könen
År;Region;0­4;5­9;10­14;15­19;20­24;25­29;30­34;35­39;40­44;45­49;50­54;55­59;60­64;65­69;70­74;75­79;80­84;85+;Totalt
2024;Riket;0,0;0,0;0,0;0,6;3,0;3,6;7,6;9,8;18,4;42,7;73,9;108,5;141,2;104,6;60,3;26,2;9,1;0,3;34,8
2024;Stockholms län;0,0;0,0;0,0;0,7;3,1;3,1;5,4;8,9;20,6;59,2;93,3;143,4;174,2;178,3;121,4;44,8;12,5;1,9;46,1
2023;Riket;0,0;0,0;0,2;1,6;2,5;3,8;5,1;9,6;21,8;42,1;71,9;104,2;129,1;102,7;58,5;27,9;8,5;1,1;33,6
2023;Stockholms län;0,0;0,0;0,7;1,4;1,6;1,2;4,9;5,9;20,9;52,7;82,8;142,4;167,0;167,1;97,4;48,9;25,6;0,0;42,9
2022;Riket;0,0;0,0;0,0;1,0;1,9;4,4;6,0;9,3;17,6;39,7;57,6;94,2;117,4;90,9;48,8;24,1;4,3;0,4;29,6
2022;Stockholms län;0,0;0,0;0,0;0,7;1,6;1,7;5,9;9,3;15,9;47,4;74,6;113,7;132,0;137,9;87,4;42,3;7,4;2,1;35,8
2021;Riket;0,0;0,0;0,2;1,0;2,2;2,8;4,7;7,3;22,8;35,7;56,9;83,6;111,3;77,4;44,4;21,9;7,0;0,4;27,3
2021;Stockholms län;0,0;0,0;0,0;0,0;2,4;2,3;3,0;3,9;23,9;44,1;56,1;92,8;128,0;115,3;76,2;28,3;13,9;0,0;30,8
2020;Riket;0,0;0,0;0,2;2,1;3,1;3,6;4,3;7,6;15,8;32,5;55,7;80,7;99,3;62,0;37,6;21,7;4,0;1,5;24,7
2020;Stockholms län;0,0;0,0;0,0;0,8;2,4;2,7;4,1;8,5;15,1;28,6;79,1;98,4;143,5;101,8;57,5;31,3;6,2;6,6;30,8
2019;Riket;0,0;0,0;0,2;1,2;2,4;5,4;4,0;8,8;13,3;34,3;58,1;90,6;99,7;76,6;55,2;21,9;7,1;0,0;27,3
2019;Stockholms län;0,0;0,0;0,7;0,8;0,0;5,4;3,2;7,4;10,4;30,3;65,8;113,1;132,2;104,5;86,9;39,0;6,5;0,0;31,4
2018;Riket;0,0;0,0;0,2;1,4;2,3;4,7;4,7;8,5;16,4;30,9;63,2;88,4;102,0;71,0;44,6;23,9;5,1;0,0;26,9
2018;Stockholms län;0,0;0,0;0,0;2,4;3,0;1,6;3,9;8,7;14,0;25,4;54,3;86,0;109,2;94,7;51,3;24,0;2,3;0,0;25,4
2017;Riket;0,0;0,0;0,2;1,1;1,1;2,5;3,8;8,2;14,9;33,1;55,1;82,7;90,1;65,5;43,8;19,9;4,8;0,4;24,7
2017;Stockholms län;0,0;0,0;0,0;0,8;0,0;1,1;4,0;6,0;7,2;30,9;50,7;79,8;87,9;79,6;41,5;21,3;4,8;0,0;22,0
2016;Riket;0,0;0,0;0,2;1,0;1,9;3,0;3,5;9,3;18,6;28,3;55,1;78,0;78,1;55,8;42,4;22,8;3,7;0,4;23,3
2016;Stockholms län;0,0;0,0;0,0;0,9;0,7;3,4;1,2;6,7;16,8;21,7;54,2;76,7;69,8;54,5;33,3;27,5;0,0;0,0;19,9
2015;Riket;0,0;0,0;0,0;1,7;2,4;4,2;4,6;7,4;17,4;26,0;51,3;75,4;76,9;54,2;40,8;18,2;3,3;0,0;22,4
2015;Stockholms län;0,0;0,0;0,0;0,9;1,4;5,9;4,8;6,8;13,9;17,9;48,2;67,5;78,0;49,4;41,9;18,7;2,5;0,0;19,3
2014;Riket;0,0;0,0;0,4;0,4;3,3;3,9;2,1;7,1;16,4;28,1;56,9;67,5;65,8;46,9;39,0;15,5;4,1;0,0;21,0
2014;Stockholms län;0,0;0,0;0,0;0,0;2,1;5,5;1,8;5,6;16,6;19,7;43,3;56,3;44,0;30,0;39,5;14,2;0,0;0,0;15,3
2013;Riket;0,0;0,0;0,2;1,3;2,7;3,2;2,9;5,9;11,2;17,7;37,8;51,4;58,9;35,4;27,1;10,7;2,0;0,4;15,9
2013;Stockholms län;0,0;0,0;0,0;1,7;2,1;3,2;2,4;3,1;4,4;10,8;21,9;31,3;42,7;24,6;17,6;1,9;0,0;0,0;9,3
2012;Riket;0,0;0,0;0,0;1,6;1,5;2,8;4,4;6,0;10,4;24,2;38,2;44,3;50,3;36,1;24,8;10,4;2,4;0,0;15,3
2012;Stockholms län;0,0;0,0;0,0;2,5;0,7;1,3;6,3;4,3;7,7;10,9;28,0;25,0;32,9;25,0;14,9;11,6;10,0;0,0;9,6
2011;Riket;0,0;0,0;0,0;1,0;2,2;1,2;3,6;4,3;10,9;21,0;35,2;43,6;42,6;33,6;22,0;6,6;2,0;0,0;13,7
2011;Stockholms län;0,0;0,0;0,0;0,8;1,5;0,7;1,9;3,1;6,5;10,6;22,2;34,2;18,2;22,3;15,9;6,0;2,5;0,0;8,0
2010;Riket;0,0;0,0;0,0;0,5;2,4;4,0;4,5;4,1;9,4;17,1;26,3;35,1;33,2;26,9;13,0;7,2;2,4;0,4;11,2
2010;Stockholms län;0,0;0,0;0,0;0,8;3,1;1,4;0,0;1,9;3,2;11,1;33,1;27,5;27,0;20,8;9,0;2,0;5,0;0,0;8,1
2009;Riket;0,0;0,0;0,2;0,5;1,5;1,2;1,5;3,6;7,5;11,6;19,5;21,7;29,3;16,1;11,6;6,2;0,4;0,0;8,0
2009;Stockholms län;0,0;0,0;0,9;0,8;0,0;0,7;0,7;2,5;7,7;8,7;19,7;22,1;26,4;25,7;14,2;10,1;0,0;0,0;7,5
2008;Riket;0,0;0,0;0,0;0,5;1,4;0,7;1,5;2,9;5,8;8,6;14,3;16,6;16,1;10,9;6,1;2,6;0,8;0,0;5,4
2008;Stockholms län;0,0;0,0;0,0;0,0;0,9;0,0;0,0;0,0;4,5;6,8;7,5;8,7;10,7;10,4;6,6;6,0;0,0;0,0;3,3
2007;Riket;0,0;0,0;0,0;0,6;0,5;1,3;0,7;1,9;3,5;6,1;9,4;9,9;10,8;6,5;5,1;1,3;0,4;0,0;3,5
2007;Stockholms län;0,0;0,0;0,0;0,0;0,9;0,7;0,0;0,7;2,6;0,8;5,1;3,4;8,3;13,7;12,0;0,0;0,0;0,0;2,4
2006;Riket;0,0;0,0;0,0;0,0;0,2;0,7;0,7;2,0;3,6;6,3;7,6;9,3;7,8;5,2;3,5;2,3;0,0;0,0;3,0
2006;Stockholms län;0,0;0,0;0,0;0,0;0,0;0,0;0,0;3,3;0,0;4,0;3,4;1,7;2,6;2,6;3,5;0,0;0,0;0,0;1,2
2005;Riket;0,0;0,0;0,0;0,0;0,8;0,6;0,0;2,0;1,6;3,8;7,4;9,0;6,7;3,6;2,3;1,3;0,0;0,0;2,4
2005;Stockholms län;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,3;0,0;4,0;3,5;1,6;1,8;5,5;3,5;5,9;0,0;0,0;1,3
Inrapporteringen för den specialiserade öppenvården har förbättrats över åren och jämförelser mellan år bör tolkas med försiktighet. I statistikdatabasen för diagnoser går det att se hur antalet inrapporterade besök i den specialiserade öppenvården ökat över tid. Förändringar mellan år kan bero på ökad inrapportering, inte på att fler faktiskt söker vård.
Socialstyrelsens statistikdatabas 2026-02-22